contingency, 偶発、偶発の出来事
way out, 脱出法、打開策
weary, うんざりした
weave, を織る
weed, 雑草
whereby, 何によって、それによって
wherefore, どのような理由で
whim, 気まぐれ
whimsical, 気まぐれな
whir, 回転する
whirlwind, 旋風
whisker, ひげ
wholesome, 健全な、健康によい
wicked, 邪悪な、意地悪な、ひどい
willful, 故意的な、わがままな
wistfully, 物思いに沈んで
witch, 魔女、魔法にかける
witchcraft, 呪術、妖術
with insistence, 執拗に
with reference to, ～に関連しては
wither, しおれる
withhold, 差し控える、を引き留める
without fail, 必ず～する
without precedent, 前例なく
withstand, 耐える、に抵抗する
worlds fair, 万国博覧会
wriggle out of, ～からやっと逃れる
wring, 絞る
wrinkle, しわ
tread, 歩く、踏みつける
treason, (国家に対する)反逆
trickle, (液体が)ポタポタ落ちる
